0|Hilton|0|APARTMENT|5|2|6|1
1|Maria|1|CABIN|8|5|5|1
2|Plaza|0|HOUSE|5|5|20|1
3|Valamar|2|APARTMENT|8|4|26|2
4|Park|0|HOUSE|4|5|5|1
5|President|5|APARTMENT|6|2|2|2
6|Sunshine|1|APARTMENT|5|50|51|1
7|uefhab|3|HOUSE|5|8|2|1
8|fahiekga|2|HOUSE|5|5|15|1
9|gggggggggg|2|APARTMENT|5|5|1|0
10|ymkrykry6k|2|APARTMENT|5|5|15|4
11|fhsrfhx|0|APARTMENT|5|5|18|1
12|hdfnxb|2|APARTMENT|50|5|1|5
13|gaha|0|APARTMENT|50|5|1|1
14|tdgncrgsf|0|APARTMENT|5|8|1|1
15|he|5|HOUSE|5|5|1|1
16|grv|4|APARTMENT|5|5|1|1
17|proba|0|APARTMENT|5|50|1|1
